"Game Name","Game Genre","Thread Title","Title Language","Translated Title","OP","Reply Count","Body Text","Language","Translated Text","URL","Date/Time Posted (PST)","Date/Time Collected (GMT)","Class"
"Hello Neighbor","Horror","PINNED:Game won't start","en","-","k1mon","0","[b]For players with 10th Gen Intel CPUs or newer (11, 12, 13, etc.):[\/b]
[olist]
    [*]Open the System menu in Settings with ⊞ Win+Pause
    [*]Select Advanced system settings
    [*]In the new System properties window, select the Advanced tab and click the Environment Variables button
    [*]In the System variables section, click the New button and enter these values:
Variable name: OPENSSL_ia32cap
Variable value: :~0x20000000
    [*]Reboot or sign out\/sign in.
[\/olist]

[b]For all other CPUs or if the above didn't work:[\/b]

Please try disconnecting your internet or blocking the game's internet access through your firewall, and the game should launch normally.

To do the second:
[olist]
    [*]Select the Start menu, type Allow an app through Windows Firewall, and from the list of results, scroll down to Hello Neighbor
    [*]Select Change settings. You might be asked for an administrator password or to confirm your choice
    [*]To remove an app, clear the check box next to the app, and then select OK
    [*]Start the game and press Cancel when prompted by Windows to add it to the Firewall exceptions
[\/olist]

This should also work with and without mods, so if you are playing with mods, please make sure the ones you want to use are subscribed to\/downloaded before you can disconnect your internet connection.

[b]If nothing of the above resolves the crash on launch for you[\/b], please refer to the rest of our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/categories\/5763416387988-Troubleshooting] Troubleshooting articles [\/url], or contact our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/requests\/new] Player Support [\/url].","en","-","https://steamcommunity.com/app/521890/discussions/1/3318611373470607839/","30/08/22 04:24","18/01/2024 04:33:13","Bug Report"
"Hello Neighbor","Horror","PINNED:Troubleshooting & Sharing Corrupted Save Files","en","-","Cutecutecute","10","Hi there!\n\nA troubleshooting guide for common issues is here: https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\n\nIf this doesn't help, please post a thread on the forum. We're reading all of them.\n\nIf you had a save file corruption issue, please send your save file via Submit a request form in our Help Center.\n\nThe save file is located at ..\\users\\username\\AppData\\Local\\HelloNeighbor\\SaveGames","en","-","https://steamcommunity.com/app/521890/discussions/1/3318610798937638616/","13/01/21 05:37","18/01/2024 04:33:14","Bug Report"
"Hello Neighbor","Horror","Не запускается игра","ru","The game doesn't start.","Nikolaich","24","Сегодня купил игру, установил, нажимаю играть дальше появляется заставка с часами на 3-5 секунд и игра вылетает. Что делать и как поиграть?","ru","I bought the game today, I set it up, I press the game further, there's an opening with hours for three to five seconds, and the game flies out. What do you do and how do you play?","https://steamcommunity.com/app/521890/discussions/1/3945776779137512246/","04/11/23 03:31","18/01/2024 04:33:19","Bug Report"
"Hello Neighbor","Horror","Hello Neighbor Glitch with Alpha 4, Beta 1/2/3 and the Full Game","en","-","Razblox","1","The game crashes with my internet on and my laptop is an Acer Nitro 5. The game just crashes whenever I launch it with internet on so I can’t play mods and with internet off it is fine","en","-","https://steamcommunity.com/app/521890/discussions/1/4032475099153177500/","20/12/23 12:32","18/01/2024 04:33:20","Bug Report"
"Hello Neighbor","Horror","Не запускается игра","ru","The game doesn't start.","Nikolaich","2","Сегодня купил игру, установил, нажимаю играть дальше появляется заставка с часами на 3-5 секунд и игра вылетает. Что делать и как поиграть?","ru","I bought the game today, I set it up, I press the game further, there's an opening with hours for three to five seconds, and the game flies out. What do you do and how do you play?","https://steamcommunity.com/app/521890/discussions/1/3945776362355449042/","04/11/23 03:32","18/01/2024 04:33:25","Bug Report"
"Hello Neighbor","Horror","Game crashes when i open the game pls help","en","-","Oprion","5","LowLevelFatalError [File:Unknown] [Line: 251]\nResult failed\nat\nc:\\work\\.git\\UE4_20\\Engine\\Source\\Runtime\\Windows\\D3D11RHI\\Privat\ne\\D3D11Viewport.cpp:304\nwith error E_FAIL\n\nim opening game and i saw this all times,I verified file integrity ,i deleted game 3 times, but still doesn't work, what am i suppose to do ?","en","-","https://steamcommunity.com/app/521890/discussions/1/3830916907604491475/","20/04/23 05:01","18/01/2024 04:33:26","Bug Report"
"Hello Neighbor","Horror","Audio","it","Audio","moony","0","I've had this bug just now where I paused the game, I've heard how neighbor was walking on the grass. Unpaused it, and sound still was there even tho he wasn't walking on the grass. And it never stopped. I decided to relaunch the game, and sound continued even in main menu, and stopped in 5 sec after I closed the game","en","-","https://steamcommunity.com/app/521890/discussions/1/4039229582009739165/","11/12/23 13:00","18/01/2024 04:33:27","Bug Report"
"Hello Neighbor","Horror","Модификации в Hello Neighbor","ru","Hello Neighbor Modifications","w0nderful","0","Все модификации, которые я устанавливал удалились после переустановки самого соседа, что делать","ru","All the modifications that I installed were deleted after the reset of the neighbor's own, what to do.","https://steamcommunity.com/app/521890/discussions/1/5971271978944050219/","19/11/23 06:06","18/01/2024 04:33:31","Bug Report"
"Hello Neighbor","Horror","Game crashes on startup","en","-","King of Silly","13","Just bought (less than 30 min ago), crashes when showing the Clock icon, i have accepted the permissions needed","en","-","https://steamcommunity.com/app/521890/discussions/1/3807282258515271134/","26/07/23 01:01","18/01/2024 04:33:31","Bug Report"
"Hello Neighbor","Horror","Проблема с игрой hello neighbor","ru","Hello neighbor problem.","_kaplya_","2","При запуске игра фризит а на экране с надписью tinybuild игра зависает и дальше не работает, при этом музыка идёт и есть звук часов. В диспечере задач написанно что игра не отвечает. Сталкнулся с проблемой после перустановки игры переустановил еще раз не получилось решить прошу помочь.","ru","When the game is launched, the game is frisite, and on a screen that says ""tinybild"" the game hangs and doesn't work anymore, and the music goes on and eats the sound of the clock. In the task manager, the game is written that the game is not responding. It came up with a problem after the game was reset.","https://steamcommunity.com/app/521890/discussions/1/3874840863853225049/","20/09/23 06:09","18/01/2024 04:33:39","Bug Report"
"Hello Neighbor","Horror","When I play the game the tab for it is small but then I try to fullscreen it but then when I do it makes everything in the game blurry and some more weird problems","en","-","spencerkes2011","1","Can anyone tell me why the game is doing this?w","en","-","https://steamcommunity.com/app/521890/discussions/1/3880470997347664952/","29/09/23 10:48","18/01/2024 04:33:39","Bug Report"
"Hello Neighbor","Horror","AÇILMIYOR","tl","A YugoslaviaILMIOR","BneLevo","5","oyunu açıyorum saat çıkıyor sonra oyundan atıyor nasıl çözebilirim","tr","I open the game, the clock comes out, then he throws it out of the game, how do I figure it out?","https://steamcommunity.com/app/521890/discussions/1/3824172831334090141/","13/03/22 06:21","18/01/2024 04:33:44","Bug Report"
