PINNED:FAQs,it's happening,60,"Is the game multiplayer?\nThe game supports local co-op and online multiplayer, and works well with remote play tools like Steam's Remote Play Together and Parsec.\nYou can mix and match these, too, so you can do whatever combination works best for your group. You can have two people playing on the same computer, connected with another person running the game on their computer who is sharing it with another friend over Parsec (if you wanted to!)\n\nHow much does it cost?\nThe game will have an SRP of \u00a314.99 \/ $17.99 \/ \u20ac17.99. For other regions we are using Steam\u2019s regional pricing system. Expect the prices to be close to similar prices games\n\nCan I try before I buy?\nYep \u2013 the free Steam demo will remain available.\n\nCan I save mid run? \nYup! If you quit the game or it crashes during the run, the game will save automatically and you can go back into your game by using the floppy disc in your lobby\n\nWhere can I join in with the PlateUp! Community?\nIf you want to keep up-to-date for changes, you should follow the game on Steam and join our Discord[discord.gg\/plateup].\n\nWill you be adding to the game post launch? \nWe\u2019re hoping this is very much the start for PlateUp! If the demand is there, we\u2019ll be ready to serve up additional content.",https://steamcommunity.com/app/1599600/discussions/0/3123801577569594952/
PINNED:Community Reported Bugs,IsaacYG,0,"Hey All!\n\nNow we're a little past our launch, I know a few people are finding the odd bug here and there. If you find one of these pesky bugs you can report it to us directly with this handy form.\n\nhttps:\/\/airtable.com\/shrWa4fYIlKEDaAlj\n\nUseful information to include on these bug reports are:\n\n- Links to screenshots\/videos of the issue\n- brief description of what happened leading up to the bug\n\nThank you for your support,\nThe Yogscast Games Team",https://steamcommunity.com/app/1599600/discussions/0/3464976518709857447/
PINNED:How to setup Twitch,IsaacYG,0,"[h1]How to setup Twitch[\/h1]\n[b]NOTE: Only the host of the multiplayer game should run the Twitch tool. It will work across multiple channels once the host has set it up correctly.[\/b]\n\n[h1]Launching the Chef Twitch tool[\/h1]\n[list][*]Go into the options\n[*]Go into Additional Options\n[*]Select Open Chef\n[\/list]\n\nUpon launching chef two additional windows may appear. One being Windows Firewall, please give the Chef tool permission. The other being the Twitch authorisation screen on this screen hit Authorize to connect Twitch.\n\n[h1]Authentication[\/h1]\n[url=https:\/\/imgur.com\/t9zeDOW]IMAGE [\/url]\nIf you did not authorize your account with the initial pop up please follow these steps. At the top of the first tab there is a button \""Connect Twitch\"". Once you press this button a webpage will appear instructing you to sign in to Authenticate your account. You will know you account is fully connected if under the Channels section it connects and no longer is showing the spinning circle.\n\n[h1]Streaming with Friends - How to add additional channels[\/h1]\nOnce the host Twitch account is fully connected, simply add the channels name you would like to partake in the integration too using the text box. Be sure to hit Enter after typing the name. You will know the account has been added once the grey circle has stopped spinning and their name is no longer greyed out.\n[url=https:\/\/imgur.com\/sr3iRIz]EXAMPLE[\/url]\n\nBy setting others channels to be included in the commands, it does mean the host will also send messages in each individual chat telling viewers they can use the commands there too.\n\n[h1]Visitors & Ordering Meals[\/h1]\n[url=https:\/\/imgur.com\/uq1JDlx]IMAGE[\/url]\nBy default visiting is set to [b]ON[\/b] and available to [b]ALL[\/b] viewers. This can be changed at any time. Changing between permissions does not clear the current queue.\nThe options are:\n[list]\n[*]Off\n[*]All Viewers\n[*]Subs Only\n[*]VIP Only\n[\/list]\nThese can be set individually for both Visitors & Meals.\nBy allowing visitors the names of the viewers who use the !visit command will appear above the heads of the customer. The !visit command will not be recognised until you begin a game, any commands used whilst the players are in the hub will be ignored. Once a viewer has used !visit they will be in the queue for the entire restaurant run and will not need to use it again until you fail and start a new restaurant.\n\nBy allowing visitors to choose their meal an overlay will appear on the screen which will show the viewers which dishes are available to order. These can be ordered anytime up to before arriving at the restaurant. These commands will appear as !order1, !order2, !order3. There will never be more than 3 available orders. If an order is not chosen a random one will be chosen.\n\n[h1]In-Game Tips[\/h1]\n[url=https:\/\/imgur.com\/vDtXayA]IMAGE[\/url]\n[b]THIS IS SET TO OFF BY DEFAULT[\/b]\nFor Streamers who want to add other ways for viewers to interact with the Stream there is the option to turn on in-game tips. This allows viewers to have their bit donations shown in game as a tip after their meal. This can be a fun way to integrate bits into a stream. There is also the option for viewers who have donated bits to skip the queue, this number can be set as high or as low as the streamer wishes. The default for this is 10 bits. The purpose of viewers who have donated to skip the queue is that their bit tips can be seen in game.\n\nIf multiple channels are connected, donating bits will work across multiple channels and will be shown regardless of which Twitch chat they were donated in. The bits will solely go the to streamer they were donated to.\n\n[b][u]PLATEUP! DOES NOT HANDLE ANY OF THE BITS DONATED AND ONLY READS THE DONATION IN CHAT. NO BITS ARE GIVEN TO THE GAME NOR THE CREATORS OF THE GAME. ALL BIT DONATIONS ARE TREATED LIKE STANDARD BIT DONATIONS[\/u][\/b]\n\n[h1]Card Polls[\/h1]\n[url=https:\/\/imgur.com\/l7DUWgy]IMAGE[\/url]\n[b]To use the integrated polls you are required to be at least an affiliate. [\/b]\nIf this setting is set active it will automatically create a Twitch poll using the Poll system anytime the player gets to a card decision. The poll will appear as two competing bars on the screen, there is an additional option which allows the card decision to be decided by the poll automatically. However with this left off the poll will end and the Streamer still has the final decision. A key thing to note here is that if you decide to use the Twitch polls they will only appear on the hosts stream. [b]If you would like the poll to be across all streams read below. [\/b]\n\nThe duration of the poll can also be set within the Chef tool, the default is 60 seconds however this can be increased\/decreased as the Streamer requires.\nAll standard Twitch Poll systems work as usual, including using channel points\/bits to gain additional votes on a poll. The values of how many bits anc channel points can also be customised in the tool too. \n\n[h1]Text Polls[\/h1]\nIf you are playing with friends and multiple people are streaming at the same time, using text polls are a way to have the same amount of interactivity over multiple streams. When text polls are selected rather than Card Polls, viewers will be able to vote for either card using !a or !b. The visuals for this will be the exact same of the Card Polls except the viewers will be told if they want to vote they have to use chat. All !a or !b commands will be read over all connected channels, so you do not need to worry about one section of viewers missing out!\n\n[h1]Predictions[\/h1]\n[url=https:\/\/imgur.com\/l1Rjmjx]IMAGE[\/url]\nIf you like to use predictions as a way of your viewers using their channel points, there is a quick way to have these trigger from within the tool. This part of the Twitch integration will allow you to create predictions on the fly with a single click, allowing you to focus on the game. You can fully customise the prediction text to match your stream theme or language.\u00a0\nThis prediction will not close automatically so, if for any reason something goes wrong, you will still have the authoritative power of the viewers channel points.\u00a0",https://steamcommunity.com/app/1599600/discussions/0/3464976518707047461/
PINNED:Contact Info,it's happening,0,"Hi everyone,\n\nI try to remember to check this forum regularly, but if you'd like much quicker help you can send me a message on the PlateUp! Discord here: https:\/\/discord.gg\/XDrJjPHgN8\n\nor send an email to support@plateupgame.com\n\n(or post here, but I might not see it for a bit!)",https://steamcommunity.com/app/1599600/discussions/0/3123801577569574750/
looking for players 找搭子,.....鲲鲲.....,2,\u5feb\u6765\u548c\u6211\u4e00\u8d77\u73a9\u02d0steamsad\u02d0\u02d0steamsad\u02d0,https://steamcommunity.com/app/1599600/discussions/0/4031347929700024765/
PlateUp! Cosmetic DLC - Giveaway Key,Tokamocha,7,Redemption Key: QEDLY-50E7R-V6CPD\n:),https://steamcommunity.com/app/1599600/discussions/0/4031347831100349171/
PlateUp! DLCs existance question,Sir Chris Swan,2,Okay I will try to make it as clear as possible and I'm sorry that my previous post has lead to misunderstanding. The only thing I'm begging for is information <3\n\nI have noticed there's an ongoing ''Cosmetic DLC'' thing.\nI would like to know: \n1. Is it a thing only given to streamers or something? I don't see any option to purchase or even view the DLC(s) for PlateUp! on Steam. <- Please do not answer if it's from places that Steam doesn't allow promoting.\n2. Also I'm a big fan of PlateUp! and I'm curious what does it include in it. <- People who got it could provide that INFORMATION to me hopefully.\n\nThanks in Advance,https://steamcommunity.com/app/1599600/discussions/0/4029096764569584855/
поиск игроков в пати,Fantaz,12,\u043a\u0442\u043e \u0445\u043e\u0447\u0435\u0442 \u0432 \u043f\u0430\u0442\u0438 \u043f\u043e\u0438\u0433\u0440\u0430\u0442\u044c \u0434\u043e\u0431\u043e\u0432\u043b\u044f\u0439\u0442\u0435\u0441\u044c \u043f\u0438\u0448\u0438\u0442\u0435 \u0441 \u0440\u0430\u0434\u043e\u0441\u0442\u044c\u044e \u0441\u044b\u0433\u0440\u0430\u044e,https://steamcommunity.com/app/1599600/discussions/0/3458220484834947081/
similar games to plat up?,HunterAnubis,2,Anyone knows any. (exlude overcooked I already have that),https://steamcommunity.com/app/1599600/discussions/0/4031348273657184492/
需要幫手過加班日10,Magazine Seller (dismissed),0,\u641e\u4e0d\u5b9a\u5566\uff01\uff01\uff01\uff01\uff01\uff01\uff01\uff01\uff01\uff01,https://steamcommunity.com/app/1599600/discussions/0/4031348273659901430/
