"I got this for ""free"" with a NVIDA GPU and ...",Esoteric,6,"I still feel cheated. WOW! I truly can not believe they are asking for $70 for this excrement! I explored as much as I could and played through the Firehouse mission and that was probably too much for me.\n\nImpressions off the top of my head.\n\nAI: super dumb making combat boring AF\nGraphics: welcome back 2010. The first Overwatch looks better.\nArt design: cringe (Rev Eva so bad \u02d0steamfacepalm\u02d0)\nStory:  completely uninteresting \n\nYeah, its bad. Very, very bad. IF I play anymore then the hour I already have, it will only be for the memes.",https://steamcommunity.com/app/1294810/discussions/0/3826414367724392482/
Recent reviews now at mostly positive!!,UselessFoetus,9,"Keep em coming, the game is a blast to play (didn't pay full price though)",https://steamcommunity.com/app/1294810/discussions/0/4027968871055577964/
Restock weapons not working,Scum,0,"I'm in the safe house. It costs 2500 to restock all weapons. I've done this several times; I'm getting nothing. Is this a bug, or do I need to do something else. I'm running around with flare guns and a beam weapon that won't for for quite awhile now..",https://steamcommunity.com/app/1294810/discussions/0/4027970580232385012/
I need to say something,Arigato™ Hunter Infantry Main,2,Eva Crescente is so damn hot.,https://steamcommunity.com/app/1294810/discussions/0/3826414483623266086/
Some changes,Knin3,5,"The ai needs work, the cultists etc ai is so bad. Also difficulty, please make it tougher, game is boring its that easy",https://steamcommunity.com/app/1294810/discussions/0/4027970580225242121/
Controls messed up nostromo,Scum,0,"I play PC with a Nostromo razor n52 controller. I map jump to the d-pad up and duck to the d-pad down. Never had a problem before, but with this game, I'm jumping\/ducking and spinning at the same time (spinning is the default).\n\nI can't find the driver that would let me change this with the razor. Anyone else using this controller that know how to fix this?",https://steamcommunity.com/app/1294810/discussions/0/4027970580229810676/
Subtitles and Captions do the exact same thing.,IchigoMait,0,"Subtitles still has captioning, and no idea if captioning option is supposed to have only captioning or also subtitles, as it does both, but that's whatever.",https://steamcommunity.com/app/1294810/discussions/0/4027970580228205160/
Raven XP,Meta03,1,"Looks like killing enemies with Jacob's Raven does not give XP. Is this intentional, or a bug?",https://steamcommunity.com/app/1294810/discussions/0/4027970229981906586/
The game looks really sharp. not in a good way,Gwensday,4,it feels like im using a sharper filter and I hate it. I prefer my game a little blurry. I try changing the config files but it didn't do anything. Any help ?,https://steamcommunity.com/app/1294810/discussions/0/4027970229989901357/
Game won't lock to 1 monitor and resolution keeps changing,CallMeButtercup,10,Game loads up on a secondary monitor or it spans across both. Change the resolution but the mouse won't reach over half the screen. Anyone know of a fix? I can't even hit start with mouse and keyboard after changing resolution.,https://steamcommunity.com/app/1294810/discussions/0/3826414367724451355/
Game keeps crashing,Wolfman,13,Anyone else having this issue? Unreal 4 keeps crashing on me.,https://steamcommunity.com/app/1294810/discussions/0/3826414367726795320/
