PINNED:TROUBLESHOOTING: Read this first.,Ignis,0,"First, please look at this post for the common issues: https:\/\/steamcommunity.com\/sharedfiles\/filedetails\/?id=1640719623\n\n[h1]Reports.[\/h1]\nIdeally you want to submit as much information as possible. \nThis includes your platform (PC, MAC), the version number (see below), the reproduction steps (what you did to trigger the bug).\n\n[b]Be sure you don't have any mods![\/b] Third party content might cause unexpected bugs that is not the developer's responsability. \nAn update might break your mods. They'll probably be updated. Until then please make sure you report bugs that aren't caused by them.\n\nUninstalling the game doesn't remove the mods. Make sure you don't have BepInEx, Qmods, and winhttp.dll in the game's directory.\n\nThe log file (named Player.log or just Player) may be important. \nCopy \/ paste its content on https:\/\/pastebin.com and share the link in your post.\n\nIf you have a crash and want to share the crash dump please check: https:\/\/steamcommunity.com\/sharedfiles\/filedetails\/?id=403087864 and send it directly to the developers. \n\nIf you encounter an issue with something on the map, share your screenshot via Steam (F12 to take them), [b]be sure you have the F1 menu open![\/b] It will help to know where you are when you encounter it.\n\n[h1]Important information.[\/h1]\nYou can copy \/ paste the following paths directly in the address bar of your file explorer.\n\nSave folder on windows: [code]Epic: shell:localappdatalow\\Unknown Worlds\\Subnautica Below Zero\\SubnauticaZero\\SavedGames\\slotXXXX\\\nSteam: <pathOfYourSteamFolder>\\SteamApps\\common\\SubnauticaZero\\SNAppData\\SavedGames\\slotXXXX\\\nDiscord: %localappdata%\\DiscordGames\\Subnautica Below Zero\\content\\SNAppData\\SavedGames\\slotXXXX\\[\/code]XXXX is a number which is incremented with the number of your save file, 0000, 0001, etc.\n\nLog file location: \nWindows (you can copy \/ paste this directly in the file explorer): [code]shell:localappdatalow\\Unknown Worlds\\Subnautica Below Zero\\Player.log[\/code]\nMac: [code]~\/Library\/Logs\/Unknown Worlds\/Subnautica Below Zero\/Player.log\n[\/code]\nCrash dump location: [code]%localappdata%\\Temp\\Unknown Worlds\\Subnautica Below Zero\\Crashes\\[\/code]\n\n[h1]Important notes about the experimental build.[\/h1] \nThis is called experimental for a reason. It can break every updates. With very painful bugs. Since it's a [b]daily build[\/b], they'll likely be fixed fast. (Not necessary really fast.)\n\nThe map doesn't update in your save file! That means you can see floating entities, stuff that isn't supposed to be there or in a wrong location. This is due to the fact that the game saves the location of every entities in the map, and if a level designer decides to change something, the game will spawn them at their old location when you open your \""old\"" save. \n\nYou can fix this by reading the next section.\n\n[h1]Problems with the map.[\/h1]\nIf, for whatever reason you have things missing in part of the world, the culprit could be your CellsCache folder.\n\nRemoving the entire folder will make PDAs, fish (if you killed leviathans they'll be there again), and all entities respawn in the map. You're warned.\nYou can be selective and remove only the batch you want to regenerate. When you're in game, press F1, camera batch. You can note the index there in the format XX,XX,XX. \n\nExample with 12-18-12, removing baked-batch-cells-12-18-12.bin inside baked-batch-cells-12-grp0.zip and loading the game, the batch at the origin (world location (0,-1,0)) will be regenerated. \n\nIf you have the issue with the ending remove baked-batch-cells-12-19-16.bin inside baked-batch-cells-12-grp0.zip.\n\nThe number of the zip is the same as the first number of the batch index. [b]12[\/b]-19-16 => 12, [b]13[\/b]-12-1 => 13, etc.\n\n[h1]Version number.[\/h1]\nThe version number is written in the F1 menu as \""plastic changeset\"".\nIt's also the number you see on the top right when you are in the main menu. It's a number with 5 digits currently. \n\n[h1]Coordinates.[\/h1]\nThe coordinates appear with the F1 menu in \""Camera world pos: (...)\"".\n\n[h1]Below Zero issue tracker.[\/h1] \nThis is the internal bug tracker used by the developers.\n\nPriorities are set as follow:\n[list]\n[*]5: Unclassified.\n[*]4: Low priority.\n[*]3: Normal severity.\n[*]2: High priority.\n[*]1: Severe.\n[\/list]https:\/\/snexpansion.unknownworlds.com\/issue-tracker\n\n[h1]Enabling the console.[\/h1] \nWhen you're in the game, shift + enter. If it doesn't work it's due to a bug with Qmod. \n\nFrom there, type a command and validate with enter again.\n\nA common issue is walking on the sea floor like you walk on land. \nIf you have the bug, typing \""warpforward\"" will solve it.\n\n[b]Using commands disable achievements in your save file![\/b]",https://steamcommunity.com/app/848450/discussions/1/3004425113424358890/
can't launch below zero only,kactus_tsuntsun,7,testing blank only due to posting error,https://steamcommunity.com/app/848450/discussions/1/4039229229047080691/
why I can't see this part of the story,LA GOTITA DE MAGISTRAL,0,"When in the game we have the first contact with the aliens, their ship should appear to me but instead I see nothing. help please.I don't know how to attach a photo",https://steamcommunity.com/app/848450/discussions/1/4039229229051307745/
Crash. Game does't start even ones,leon.ogood,1,"\nDirect3D:\n    Version:  Direct3D 11.0 [level 11.0]\n    Renderer: NVIDIA Quadro K4000 (ID=0x11fa)\n    Vendor:   \n    VRAM:     3029 MB\n    Driver:   30.0.14.7298\n\n\nCrash!!!\nSymInit: Symbol-SearchPath: '.;F:\\SteamLibrary\\steamapps\\common\\SubnauticaZero;F:\\SteamLibrary\\steamapps\\common\\SubnauticaZero;C:\\WINDOWS;C:\\WINDOWS\\system32;SRV*C:\\websymbols*http:\/\/msdl.microsoft.com\/download\/symbols;', symOptions: 534, UserName: 'HP'\nOS-Version: 10.0.0\nF:\\SteamLibrary\\steamapps\\common\\SubnauticaZero\\SubnauticaZero.exe:SubnauticaZero.exe (00007FF604C50000), size: 675840 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 2019.4.36.870\nC:\\WINDOWS\\SYSTEM32\\ntdll.dll:ntdll.dll (00007FF8DF170000), size: 2064384 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\KERNEL32.DLL:KERNEL32.DLL (00007FF8DD370000), size: 774144 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\KERNELBASE.dll:KERNELBASE.dll (00007FF8DCC00000), size: 3104768 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nF:\\SteamLibrary\\steamapps\\common\\SubnauticaZero\\UnityPlayer.dll:UnityPlayer.dll (00007FF88BCE0000), size: 27086848 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 2019.4.36.870\nC:\\WINDOWS\\System32\\USER32.dll:USER32.dll (00007FF8DDF00000), size: 1695744 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\win32u.dll:win32u.dll (00007FF8DCF00000), size: 139264 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\GDI32.dll:GDI32.dll (00007FF8DDDB0000), size: 180224 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\gdi32full.dll:gdi32full.dll (00007FF8DC900000), size: 1155072 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\msvcp_win.dll:msvcp_win.dll (00007FF8DD130000), size: 643072 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\ucrtbase.dll:ucrtbase.dll (00007FF8DD030000), size: 1048576 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\ole32.dll:ole32.dll (00007FF8DE140000), size: 1224704 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\RPCRT4.dll:RPCRT4.dll (00007FF8DEAA0000), size: 1204224 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\combase.dll:combase.dll (00007FF8DEBD0000), size: 3489792 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\VERSION.dll:VERSION.dll (00007FF8D7D60000), size: 40960 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\msvcrt.dll:msvcrt.dll (00007FF8DE0A0000), size: 647168 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 7.0.19041.3636\nC:\\WINDOWS\\System32\\SHLWAPI.dll:SHLWAPI.dll (00007FF8DF020000), size: 348160 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\SETUPAPI.dll:SETUPAPI.dll (00007FF8DD430000), size: 4644864 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\cfgmgr32.dll:cfgmgr32.dll (00007FF8DCA20000), size: 319488 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\bcrypt.dll:bcrypt.dll (00007FF8DCA70000), size: 159744 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\ADVAPI32.dll:ADVAPI32.dll (00007FF8DF080000), size: 716800 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3693\nC:\\WINDOWS\\System32\\sechost.dll:sechost.dll (00007FF8DDC10000), size: 638976 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\SHELL32.dll:SHELL32.dll (00007FF8DE270000), size: 7618560 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\OLEAUT32.dll:OLEAUT32.dll (00007FF8DDAD0000), size: 839680 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\IMM32.dll:IMM32.dll (00007FF8DEA70000), size: 196608 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\OPENGL32.dll:OPENGL32.dll (00007FF89C1B0000), size: 1200128 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\WINMM.dll:WINMM.dll (00007FF8D2930000), size: 159744 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\CRYPT32.dll:CRYPT32.dll (00007FF8DCAA0000), size: 1429504 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\WS2_32.dll:WS2_32.dll (00007FF8DDD40000), size: 438272 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\HID.DLL:HID.DLL (00007FF8DB0D0000), size: 53248 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\WINHTTP.dll:WINHTTP.dll (00007FF8D5450000), size: 1089536 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\GLU32.dll:GLU32.dll (00007FF89C180000), size: 180224 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\Program Files (x86)\\Steam\\gameoverlayrenderer64.dll:gameoverlayrenderer64.dll (00007FF8B0320000), size: 1634304 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 8.50.21.77\nC:\\WINDOWS\\System32\\PSAPI.DLL:PSAPI.DLL (00007FF8DEF30000), size: 32768 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\kernel.appcore.dll:kernel.appcore.dll (00007FF8DA730000), size: 73728 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\bcryptPrimitives.dll:bcryptPrimitives.dll (00007FF8DCFA0000), size: 532480 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\system32\\uxtheme.dll:uxtheme.dll (00007FF8DA260000), size: 647168 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\shcore.dll:shcore.dll (00007FF8DE9C0000), size: 708608 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\windows.storage.dll:windows.storage.dll (00007FF8DA930000), size: 7974912 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3693\nC:\\WINDOWS\\SYSTEM32\\Wldp.dll:Wldp.dll (00007FF8DC290000), size: 184320 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\profapi.dll:profapi.dll (00007FF8DC780000), size: 151552 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nF:\\SteamLibrary\\steamapps\\common\\SubnauticaZero\\MonoBleedingEdge\\EmbedRuntime\\mono-2.0-bdwgc.dll:mono-2.0-bdwgc.dll (00007FF88B570000), size: 7790592 (result: 0), SymType: '-deferred-', PDB: ''\nC:\\WINDOWS\\SYSTEM32\\iphlpapi.dll:iphlpapi.dll (00007FF8DBC10000), size: 241664 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\MSCTF.dll:MSCTF.dll (00007FF8DDDE0000), size: 1130496 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\d3d11.dll:d3d11.dll (00007FF8D8550000), size: 2502656 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\dxgi.dll:dxgi.dll (00007FF8DB230000), size: 995328 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\DriverStore\\FileRepository\\nv_dispwi.inf_amd64_6c61f39582409559\\nvldumdx.dll:nvldumdx.dll (00007FF8D4110000), size: 1073152 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 30.0.14.7298\nC:\\WINDOWS\\SYSTEM32\\msasn1.dll:msasn1.dll (00007FF8DC420000), size: 73728 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\cryptnet.dll:cryptnet.dll (00007FF8D57C0000), size: 200704 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\drvstore.dll:drvstore.dll (00007FF8D39E0000), size: 1343488 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\devobj.dll:devobj.dll (00007FF8DC5E0000), size: 208896 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\cryptbase.dll:cryptbase.dll (00007FF8DC190000), size: 49152 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\WINTRUST.DLL:WINTRUST.DLL (0000021D6EB10000), size: 421888 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\imagehlp.dll:imagehlp.dll (00007FF8DD8A0000), size: 118784 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\CRYPTSP.dll:CRYPTSP.dll (00007FF8DC170000), size: 98304 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\system32\\rsaenh.dll:rsaenh.dll (00007FF8DB850000), size: 212992 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\DriverStore\\FileRepository\\nv_dispwi.inf_amd64_6c61f39582409559\\nvwgf2umx.dll:nvwgf2umx.dll (00007FF8928B0000), size: 77623296 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 30.0.14.7298\nC:\\WINDOWS\\system32\\nvspcap64.dll:nvspcap64.dll (00007FF8A8940000), size: 2895872 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 3.23.0.74\nC:\\WINDOWS\\SYSTEM32\\ntmarta.dll:ntmarta.dll (00007FF8DB970000), size: 208896 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\dxcore.dll:dxcore.dll (00007FF8D5560000), size: 241664 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\System32\\clbcatq.dll:clbcatq.dll (00007FF8DD1D0000), size: 692224 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 2001.12.10941.16384\nC:\\WINDOWS\\system32\\wbem\\wbemprox.dll:wbemprox.dll (00007FF8D4470000), size: 69632 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\wbemcomn.dll:wbemcomn.dll (00007FF8D2480000), size: 589824 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\system32\\wbem\\wbemsvc.dll:wbemsvc.dll (00007FF8D0880000), size: 81920 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\system32\\wbem\\fastprox.dll:fastprox.dll (00007FF8D0DE0000), size: 1093632 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\amsi.dll:amsi.dll (00007FF8CFA50000), size: 126976 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\USERENV.dll:USERENV.dll (00007FF8DC740000), size: 188416 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.23100.2009-0\\MpOav.dll:MpOav.dll (00007FF8CF9D0000), size: 507904 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 4.18.23100.2009\nF:\\SteamLibrary\\steamapps\\common\\SubnauticaZero\\SubnauticaZero_Data\\Plugins\\x86_64\\lib_burst_generated.dll:lib_burst_generated.dll (00007FF8D2D00000), size: 32768 (result: 0), SymType: '-deferred-', PDB: ''\nC:\\WINDOWS\\SYSTEM32\\dbghelp.dll:dbghelp.dll (00007FF8C05B0000), size: 1982464 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\nC:\\WINDOWS\\SYSTEM32\\SspiCli.dll:SspiCli.dll (00007FF8DC700000), size: 204800 (result: 0), SymType: '-deferred-', PDB: '', fileVersion: 10.0.19041.3636\n\n========== OUTPUTTING STACK TRACE ==================\n\n0\n0x00007FF88B77BAB4 (mono-2.0-bdwgc) mono_unity_backtrace_from_context\n  ERROR: SymGetSymFromAddr64, GetLastError: 'Nie mo\u017cna odnale\u017a\u0107 okre\u015blonego modu\u0142u.' (Address: 0000021BEDD503A3)\n  ERROR: SymGetModuleInfo64, GetLastError: 'Procedura inicjowania biblioteki do\u0142\u0105czanej dynamicznie (DLL) nie powiod\u0142a si\u0119.' (Address: 0000021BEDD503A3)\n0x0000021BEDD503A3 ((<unknown>)) (function-name not available)",https://steamcommunity.com/app/848450/discussions/1/4034724602256824896/
help pls,AgateCake,3,did not achieve the search for a cure although I cured leviathan what to do,https://steamcommunity.com/app/848450/discussions/1/4034724270494254448/
the screen turns white or black a few seconds after I start the game...,guybrush10,2,"Impossible to start the game , I've tried 10 times or more, I see the landscape a few seconds I start moving and then randomly a few seconds after, the screen turns totally white or totally black. But i can still hear the sounds and still see the icon of the \""orange balise\"". Do you know how to fix this? I tried to restart many times, played on low graphics, nothing change, it still crash the same.",https://steamcommunity.com/app/848450/discussions/1/5971271978946813021/
Unstuck not working,Seth.,1,"I thought it was a good game and I believed that until I got stuck in a POI, more exactly,i hawe fall underground. Unstuck doesn't work, so I respawn in the same place under the ground where I'm stuck. At one point, I managed to reach a building, probably a bug, and now I can no longer get off this building!! The only solution at this point is to start a new game, which will not happen, I don't think I have the patience to search through all the nonsense again. This was happening to Robotics blablabla.",https://steamcommunity.com/app/848450/discussions/1/4034724270484908666/
игра не запускается,NEON_L,0,\u0438\u0434\u0435\u0442 \u0437\u0430\u043f\u0443\u0441\u043a \u0430 \u043f\u043e\u0442\u043e\u043c \u0437\u0430\u043a\u0440\u044b\u0432\u0430\u0435\u0442\u0441\u044f \u0441\u0430\u043c\u0430,https://steamcommunity.com/app/848450/discussions/1/5971271658114177330/
sync broken,Anon-Emouse,0,it's saying it can't cloud sync?,https://steamcommunity.com/app/848450/discussions/1/5971271658108883099/
Stop frame time record,DerLevin7,0,everytime i start a new gam there ist a big window on the right side of the screen which says stop frame time recording and i cant close it ith anything because its like all of my keybinds getting pressed at the same time every second pls help me i just wanna play subnautica below zero,https://steamcommunity.com/app/848450/discussions/1/3959288052808468433/
