"Game Name","Game Genre","OP","Reply Count","Thread Title","Title Language","Translated Title","Body Text","Language","Translated Text","Combined Text","Combined Translated Text","URL","Date/Time Posted (PST)","Date/Time Collected (GMT)","Class"
"Factorio","Sandbox","posila87","0","PINNED:Known issues & common solutions","en","-","Before making a bug report, first read through the known bugs\/errors below. If you can't find your answer there then make a new thread and include the log file using the [noparse][code][\/noparse] and [noparse][\/code][\/noparse] tags or a link to pastebin.com or any other site you uploaded it to.
You can find the log file in the application directory.

[h1]Location of the application directory[\/h1]
For Windows: %appdata%\Factorio [i](open the run dialog with Win+R and put that in)[\/i]
(usually C:\Users\<username>\AppData\Roaming\Factorio)
For Linux: ~\/.factorio
For Mac: ~\/Library\/Application Support\/factorio (see also [url=https:\/\/forums.factorio.com\/viewtopic.php?f=49&t=39900&p=236951#p236951]here[\/url])

[h1]The game crashes immediately after starting[\/h1]
Make sure your graphics drivers are up-to-date. Search for the latest drivers on GPU Vendor website, don't rely on Windows Update. If you already have the latest driver, you can try to switch to OpenGL renderer using launch option: [code]--force-opengl[\/code]

[h1]Game crashes during startup before loading to the main menu[\/h1]
Your graphics driver might be outdated (see above), or the game is running out of memory. If you computer is within minimal requirements, try to reboot it first. If that doesn't help you can try using launch option: [code]--gfx-safe-mode[\/code]

[h1]Game shows ""loading mods error"" during startup, but no mods are installed[\/h1]
The game probably did not install or update correctly. Open Factorio properties in Steam Library and use ""Verify integrity of game files"" function.

[h1]Game stutters, or is locked to sub-60 framerate[\/h1]
Try to toggle ""Wait for V-sync"" in graphics options. If that doesn't help, try to disable ""Use flip presentation model"" graphics option and restart the game.

[h1]Game randomly crashes saying ""The video card has been physically removed""[\/h1]
This might be graphics driver issue, so you can try to install different version of the driver. It could be also problem with HW. Your power supply might be insufficient, or power cables could be loose, or graphics card could be badly seated in the slot, or something else could be wrong causing GPU to reset itself. Sometime changing ""Use flip presentation model"" graphics option or switching to OpenGL can stop the resets from happening.

[h1]Issues with capturing the game footage[\/h1]
Your capture software might record just black screen. This happens for example in OBS with Window Capture. You should use [b]Game Capture[\/b] instead. If you can't use Game Capture (or equivalent mode in other software), you can try to [b]disable ""Use flip presentation model"" in graphics settings[\/b] and restart the game.

[h1]Gameplay issues that are not bugs[\/h1]
Some issues are reported repeatedly, but they are actually not bugs.
[list][*][b]Island spawn: [\/b]After starting a new game you spawn on a small island and are not able to mine any ores or move to the mainland. This is not a bug as terrain generation works as expected but gives unexpected results. Simply press Escape and click Restart to generate a new map.
[*][b]The well: [\/b]after landfilling over an offshore pump the pump is still working although there is no water next to it. This is not a bug, you merely created a well \/ underground pump.
[*][b]Land Fish: [\/b]after landfilling over some water the fish are still present and appear to ""swim"" on land.
[*][b]Splitters not splitting evenly: [\/b]Splitters only split [b]per lane[\/b], they will never move items from one side of the belt to the other. This is by design, see also [url=https:\/\/forums.factorio.com\/viewtopic.php?f=23&t=39169]here[\/url].[\/list] [\/quote]

[h1]Useful launch options[\/h1]
[list]
[*][b]--force-opengl [\/b]- on Windows, makes the game use OpenGL instead of Direct3D
[*][b]--force-d3d [\/b]- on Windows, makes the to use Direct3D instead of OpenGL, if OpenGL was enabled in the game's config file.
[*][b]--dxgi-blit-model [\/b]- equivalent of disabling ""Use flip presentation model"" in graphics settings
[*][b]--gfx-safe-mode [\/b]- forces graphics settings to their minimal, most stable, values.
[*][b]--fullscreen=[\/b]{true|false}
[*][b]--max-texture-size=[\/b]{0|2048|4096|8192} 
[*][b]--graphics-quality=[\/b]{high|normal}
[*][b]--video-memory-usage=[\/b]{all|high|medium|low}
[*][b]--window-size=[\/b]{WIDTHxHEIGHT|maximized} - for example --window-size=1680x1050
[\/list]
Note: [b]--option=[\/b]{red|green|white} means there is switch --option which accepts values red, green or white. Example --option=green","en","-","PINNED:Known issues & common solutionsBefore making a bug report, first read through the known bugs\/errors below. If you can't find your answer there then make a new thread and include the log file using the [noparse][code][\/noparse] and [noparse][\/code][\/noparse] tags or a link to pastebin.com or any other site you uploaded it to.
You can find the log file in the application directory.

[h1]Location of the application directory[\/h1]
For Windows: %appdata%\Factorio [i](open the run dialog with Win+R and put that in)[\/i]
(usually C:\Users\<username>\AppData\Roaming\Factorio)
For Linux: ~\/.factorio
For Mac: ~\/Library\/Application Support\/factorio (see also [url=https:\/\/forums.factorio.com\/viewtopic.php?f=49&t=39900&p=236951#p236951]here[\/url])

[h1]The game crashes immediately after starting[\/h1]
Make sure your graphics drivers are up-to-date. Search for the latest drivers on GPU Vendor website, don't rely on Windows Update. If you already have the latest driver, you can try to switch to OpenGL renderer using launch option: [code]--force-opengl[\/code]

[h1]Game crashes during startup before loading to the main menu[\/h1]
Your graphics driver might be outdated (see above), or the game is running out of memory. If you computer is within minimal requirements, try to reboot it first. If that doesn't help you can try using launch option: [code]--gfx-safe-mode[\/code]

[h1]Game shows ""loading mods error"" during startup, but no mods are installed[\/h1]
The game probably did not install or update correctly. Open Factorio properties in Steam Library and use ""Verify integrity of game files"" function.

[h1]Game stutters, or is locked to sub-60 framerate[\/h1]
Try to toggle ""Wait for V-sync"" in graphics options. If that doesn't help, try to disable ""Use flip presentation model"" graphics option and restart the game.

[h1]Game randomly crashes saying ""The video card has been physically removed""[\/h1]
This might be graphics driver issue, so you can try to install different version of the driver. It could be also problem with HW. Your power supply might be insufficient, or power cables could be loose, or graphics card could be badly seated in the slot, or something else could be wrong causing GPU to reset itself. Sometime changing ""Use flip presentation model"" graphics option or switching to OpenGL can stop the resets from happening.

[h1]Issues with capturing the game footage[\/h1]
Your capture software might record just black screen. This happens for example in OBS with Window Capture. You should use [b]Game Capture[\/b] instead. If you can't use Game Capture (or equivalent mode in other software), you can try to [b]disable ""Use flip presentation model"" in graphics settings[\/b] and restart the game.

[h1]Gameplay issues that are not bugs[\/h1]
Some issues are reported repeatedly, but they are actually not bugs.
[list][*][b]Island spawn: [\/b]After starting a new game you spawn on a small island and are not able to mine any ores or move to the mainland. This is not a bug as terrain generation works as expected but gives unexpected results. Simply press Escape and click Restart to generate a new map.
[*][b]The well: [\/b]after landfilling over an offshore pump the pump is still working although there is no water next to it. This is not a bug, you merely created a well \/ underground pump.
[*][b]Land Fish: [\/b]after landfilling over some water the fish are still present and appear to ""swim"" on land.
[*][b]Splitters not splitting evenly: [\/b]Splitters only split [b]per lane[\/b], they will never move items from one side of the belt to the other. This is by design, see also [url=https:\/\/forums.factorio.com\/viewtopic.php?f=23&t=39169]here[\/url].[\/list] [\/quote]

[h1]Useful launch options[\/h1]
[list]
[*][b]--force-opengl [\/b]- on Windows, makes the game use OpenGL instead of Direct3D
[*][b]--force-d3d [\/b]- on Windows, makes the to use Direct3D instead of OpenGL, if OpenGL was enabled in the game's config file.
[*][b]--dxgi-blit-model [\/b]- equivalent of disabling ""Use flip presentation model"" in graphics settings
[*][b]--gfx-safe-mode [\/b]- forces graphics settings to their minimal, most stable, values.
[*][b]--fullscreen=[\/b]{true|false}
[*][b]--max-texture-size=[\/b]{0|2048|4096|8192} 
[*][b]--graphics-quality=[\/b]{high|normal}
[*][b]--video-memory-usage=[\/b]{all|high|medium|low}
[*][b]--window-size=[\/b]{WIDTHxHEIGHT|maximized} - for example --window-size=1680x1050
[\/list]
Note: [b]--option=[\/b]{red|green|white} means there is switch --option which accepts values red, green or white. Example --option=green","-","https://steamcommunity.com/app/427520/discussions/5/4098792306725408332/","14/08/20 00:39","18/01/2024 13:12:00","Bug Report"
"Factorio","Sandbox","Klonan","0","PINNED:Report bugs on the Factorio Forum","en","-","[b]We are getting many bug reports, please help us by being organized![\/b]

[h1]Search first[\/h1]

Read the [url=http:\/\/www.factorioforums.com\/forum\/viewtopic.php?f=7&t=3636]known issues[\/url] first. If it is there, don't post it.
Search the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=7]Bug reports board[\/url]. If your bug has been reported before don't post it.

[h1]Report only bugs from latest version. [\/h1]

Current version can be seen in the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=3]Releases board[\/url].

Report the bug as new topic into the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=7]Bug reports board[\/url]. Watch out for other announcement posts like this.

[h1]Describe the problem as best as you can. [\/h1]

[b]Please write down the steps to reproduce the bug.[\/b]
It is also important to know, if it happens always, or it happened only once, or if it happens rarely.

[h1]Attach save and screenshots\/gifs. [\/h1]

Saves are useful for crashes and complicated issues. Please upload them to our forum with your post.

[h1]Attach a log file. [\/h1]

[url=http:\/\/www.factorioforums.com\/wiki\/index.php?title=Log_File]Log files[\/url] help us find some of the harder to reproduce bugs.
The log file is found in your [url=http:\/\/www.factorioforums.com\/wiki\/index.php?title=Application_Directory]application directory[\/url], the filename is factorio-current.log.

[h1]Include your specific system information. [\/h1]

If the problem is system related, then write down your OS, VRAM, RAM, resolution, etc.

[url=https:\/\/forums.factorio.com\/viewforum.php?f=7]Please report bugs here[\/url]","en","-","PINNED:Report bugs on the Factorio Forum[b]We are getting many bug reports, please help us by being organized![\/b]

[h1]Search first[\/h1]

Read the [url=http:\/\/www.factorioforums.com\/forum\/viewtopic.php?f=7&t=3636]known issues[\/url] first. If it is there, don't post it.
Search the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=7]Bug reports board[\/url]. If your bug has been reported before don't post it.

[h1]Report only bugs from latest version. [\/h1]

Current version can be seen in the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=3]Releases board[\/url].

Report the bug as new topic into the [url=http:\/\/www.factorioforums.com\/forum\/viewforum.php?f=7]Bug reports board[\/url]. Watch out for other announcement posts like this.

[h1]Describe the problem as best as you can. [\/h1]

[b]Please write down the steps to reproduce the bug.[\/b]
It is also important to know, if it happens always, or it happened only once, or if it happens rarely.

[h1]Attach save and screenshots\/gifs. [\/h1]

Saves are useful for crashes and complicated issues. Please upload them to our forum with your post.

[h1]Attach a log file. [\/h1]

[url=http:\/\/www.factorioforums.com\/wiki\/index.php?title=Log_File]Log files[\/url] help us find some of the harder to reproduce bugs.
The log file is found in your [url=http:\/\/www.factorioforums.com\/wiki\/index.php?title=Application_Directory]application directory[\/url], the filename is factorio-current.log.

[h1]Include your specific system information. [\/h1]

If the problem is system related, then write down your OS, VRAM, RAM, resolution, etc.

[url=https:\/\/forums.factorio.com\/viewforum.php?f=7]Please report bugs here[\/url]","-","https://steamcommunity.com/app/427520/discussions/5/358415738201315725/","27/06/16 08:11","18/01/2024 13:12:00","Bug Report"
"Factorio","Sandbox","posila87","6","PINNED:IMPORTANT!!! Attach Factorio logs with your reports, please.","en","-","When you report an issue (especially a crash) or create thread asking for help, please don't forget to include Factorio log from your computer to description of the problem.

Name of Factorio log file is factorio-current.log

On Windows it is located in %APPDATA%\Factorio\. Hit Win + R on keyboard, type %APPDATA% , click OK, file explorer will open. Log is inside Factorio folder.

On MacOS X, log is located in ~\Library\Application Support\factorio

Use either [noparse][code] tag[\/noparse], so it looks like this:
[code]
Content of log should be here.
[\/code]

Or use some no-paste service like pastebin.org and post link to your log.

If you don't include log to your bug report or help request, I or somebody else will probably have to ask for it, which will greatly increase time in which the problem will be solved.

Thank you in advance.","en","-","PINNED:IMPORTANT!!! Attach Factorio logs with your reports, please.When you report an issue (especially a crash) or create thread asking for help, please don't forget to include Factorio log from your computer to description of the problem.

Name of Factorio log file is factorio-current.log

On Windows it is located in %APPDATA%\Factorio\. Hit Win + R on keyboard, type %APPDATA% , click OK, file explorer will open. Log is inside Factorio folder.

On MacOS X, log is located in ~\Library\Application Support\factorio

Use either [noparse][code] tag[\/noparse], so it looks like this:
[code]
Content of log should be here.
[\/code]

Or use some no-paste service like pastebin.org and post link to your log.

If you don't include log to your bug report or help request, I or somebody else will probably have to ask for it, which will greatly increase time in which the problem will be solved.

Thank you in advance.","-","https://steamcommunity.com/app/427520/discussions/5/412448792355921191/","04/03/16 06:59","18/01/2024 13:12:01","Bug Report"
"Factorio","Sandbox","FreckleFreak","2","bug report","en","-","when incompatible mod is added the game crashes on start normal this would not be a problem but when i change the version it still has the mod enabled because of this i can not play the game pleas fix semiyearly Freckeldfreack","en","-","bug reportwhen incompatible mod is added the game crashes on start normal this would not be a problem but when i change the version it still has the mod enabled because of this i can not play the game pleas fix semiyearly Freckeldfreack","-","https://steamcommunity.com/app/427520/discussions/5/4131556827214873325/","17/01/24 16:53","18/01/2024 13:12:02","Bug Report"
"Factorio","Sandbox","nwmnw24*********_com","1","factorio is not loaded","en","-","Hello, I don't want to turn on the game. I turned on a few mods there, since then it always loads at 4%.","en","-","factorio is not loadedHello, I don't want to turn on the game. I turned on a few mods there, since then it always loads at 4%.","-","https://steamcommunity.com/app/427520/discussions/5/7190626612109287902/","16/01/24 07:14","18/01/2024 13:12:02","Bug Report"
"Factorio","Sandbox","Blackframeworld","1","Cannot Launch or play game","en","-","Hoping someone can shed some light on my problems and explain how to fix this.

I installed this on my new asus A 16. Last time I played was 2019 on my Imac which has since then passed.

When I launch the game it does not open any new screens it flashes once and then give an error window. So now posting this issue in the forums.

I have tried, reinstalling the game. 
restarting my computer after installing the game.
i have tried to do those things in different orders.
turning on and off. 

I use no mods and have not tried to change any settings. My pc is totally up to date and running amd graphics.","en","-","Cannot Launch or play gameHoping someone can shed some light on my problems and explain how to fix this.

I installed this on my new asus A 16. Last time I played was 2019 on my Imac which has since then passed.

When I launch the game it does not open any new screens it flashes once and then give an error window. So now posting this issue in the forums.

I have tried, reinstalling the game. 
restarting my computer after installing the game.
i have tried to do those things in different orders.
turning on and off. 

I use no mods and have not tried to change any settings. My pc is totally up to date and running amd graphics.","-","https://steamcommunity.com/app/427520/discussions/5/7190626612107123104/","15/01/24 16:59","18/01/2024 13:12:03","Bug Report"
"Factorio","Sandbox","Alex_Burkov","0","Game crushed","en","-","Completed achievement and tried to exit game, crushed on exit.
log file: https:\/\/pastebin.com\/cWDinvFR","en","-","Game crushedCompleted achievement and tried to exit game, crushed on exit.
log file: https:\/\/pastebin.com\/cWDinvFR","-","https://steamcommunity.com/app/427520/discussions/5/4032476411660120810/","08/01/24 08:51","18/01/2024 13:12:08","Bug Report"
"Factorio","Sandbox","wheezil","3","personal construction robots lost or not working","en","-","I've become rather used to my personal construction robots getting ""lost"" and running out of power.  Until they return, I cannot do construction from my personal roboport.  Eventually they come limping home, or I look around on radar and sweep them up.  

However, now I have a game where they seem to have gone off to a permanent limbo.  I've blanketed the map with radar and cannot find them.  I've sat in one spot for 30 minutes waiting for them to come limping home, but they don't arrive.  The land-based bots and roboports all work just fine.  My power armor is has a personal roboport mk2, fusion, batteries, solar.  It is topped up and nothing is wrong.  My inventory showing 17 construction bots.   How can I figure out what happened?  Can I ""reset"" my personal roboport or abandon the lost bots so that new ones will function?","en","-","personal construction robots lost or not workingI've become rather used to my personal construction robots getting ""lost"" and running out of power.  Until they return, I cannot do construction from my personal roboport.  Eventually they come limping home, or I look around on radar and sweep them up.  

However, now I have a game where they seem to have gone off to a permanent limbo.  I've blanketed the map with radar and cannot find them.  I've sat in one spot for 30 minutes waiting for them to come limping home, but they don't arrive.  The land-based bots and roboports all work just fine.  My power armor is has a personal roboport mk2, fusion, batteries, solar.  It is topped up and nothing is wrong.  My inventory showing 17 construction bots.   How can I figure out what happened?  Can I ""reset"" my personal roboport or abandon the lost bots so that new ones will function?","-","https://steamcommunity.com/app/427520/discussions/5/2971775284250323044/","18/11/20 08:05","18/01/2024 13:12:08","Bug Report"
"Factorio","Sandbox","Arsant","1","Bag?","tl","Bag?","Did I find a bug in the game? When an item is placed in a chest and connected to logic. Sees correctly, but if connected to drone stations via wire. Magic begins, any item is multiplied by 2.","en","-","Bag?Did I find a bug in the game? When an item is placed in a chest and connected to logic. Sees correctly, but if connected to drone stations via wire. Magic begins, any item is multiplied by 2.","Bag?Did I find a bug in the game? When an item is placed in a chest and connected to logic. Sees correctly, but if connected to drone stations via wire. Magic begins, any item is multiplied by 2.","https://steamcommunity.com/app/427520/discussions/5/4032476411657157321/","07/01/24 13:24","18/01/2024 13:12:09","Bug Report"
"Factorio","Sandbox","ashenshards","1","Xbox Controller","fr","Xbox Controller","So, not sure what is up here. But this is the only game that if I leave the controller idle for 15 minutes it turns off. That's normal, but if I try to turn it back on, it just turns back off. I have to restart the computer for it to work again. I haven't had this issue with any other game. I just turn the controller back on and it works again normally.","en","-","Xbox ControllerSo, not sure what is up here. But this is the only game that if I leave the controller idle for 15 minutes it turns off. That's normal, but if I try to turn it back on, it just turns back off. I have to restart the computer for it to work again. I haven't had this issue with any other game. I just turn the controller back on and it works again normally.","Xbox ControllerSo, not sure what is up here. But this is the only game that if I leave the controller idle for 15 minutes it turns off. That's normal, but if I try to turn it back on, it just turns back off. I have to restart the computer for it to work again. I haven't had this issue with any other game. I just turn the controller back on and it works again normally.","https://steamcommunity.com/app/427520/discussions/5/4032476411653231300/","06/01/24 11:42","18/01/2024 13:12:09","Bug Report"
